epoch = 1...
...
...
epoch = 1052, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1053, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1054, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1055, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1056, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1057, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1058, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1059, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1060, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1061, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1062, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1063, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1064, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1065, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1066, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1067, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1068, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1069, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1070, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1071, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1072, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1073, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1074, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1075, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1076, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1077, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1078, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1079, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1080, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1081, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1082, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1083, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1084, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1085, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1086, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1087, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1088, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1089, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1090, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1091, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1092, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1093, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1094, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1095, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1096, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1097, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1098, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1099, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1100, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1101, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1102, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1103, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1104, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1105, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1106, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1107, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1108, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1109, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1110, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1111, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1112, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1113, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1114, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1115, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1116, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1117, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1118, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1119, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1120, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1121, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1122, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1123, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1124, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1125, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1126, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1127, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1128, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1129, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1130, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1131, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1132, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1133, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1134, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1135, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1136, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1137, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1138, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1139, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1140, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1141, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1142, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1143, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1144, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1145, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1146, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1147, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1148, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1149, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1150, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1151, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1152, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1153, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1154, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1155, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1156, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1157, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1158, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1159, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1160, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1161, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1162, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1163, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1164, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1165, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1166, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1167, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1168, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1169, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1170, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1171, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1172, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1173, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1174, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1175, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1176, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1177, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1178, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1179, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1180, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1181, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1182, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1183, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1184, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1185, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1186, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1187, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1188, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1189, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1190, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1191, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1192, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1193, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1194, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1195, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1196, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1197, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1198, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1199, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1200, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1201, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1202, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1203, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1204, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1205, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1206, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1207, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1208, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1209, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1210, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1211, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1212, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1213, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1214, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1215, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1216, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1217, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1218, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1219, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1220, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1221, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1222, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1223, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1224, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1225, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1226, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1227, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1228, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1229, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1230, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1231, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1232, mse = 0.006, Percentage = 73/75 = 97.33%
